"Failed to process checkout - ","No se ha podido procesar la compra-"
"Order action is not available.","La acción de pedido no está disponible."
"Authorize action is not available.","La acción de autorizar no está disponible."
"Could not authorize the payment - ","No se ha podido autorizar el pago."
"Capture action is not available.","La acción de captura no está disponible."
"Cannot find payment authorization transaction.","No se puede encontrar la transacción de autorización de pago."
"Incorrect payment transaction type.","Tipo de transacción de pago incorrecto."
"Invalid Checkout state, payment will not be processing.","Estado de proceso de fin de compra no válido, el pago no se procesará."
"Checkout is %s, payment will not be processing.","El proceso de fin de compra es %s, el pago no se procesará."
"Could not capture the payment - ","No se ha podido registrar el pago -"
"Refund action is not available.","La acción de reembolso no está disponible."
"Could not get payment transaction ID","No se ha podido obtener la ID de la transacción de pago"
"Please provide refund amount","Proporcione el monto del reembolso"
"Could not refund the payment - ","No se ha podido reembolsar el pago."
"Void action is not available.","La acción de Anulación no está disponible."
"Could not cancel the charge","No es posible cancelar el cargo"
"Your store {store_name} ({store_url}) does not have SSL","Su tienda {store_name} ({store_url}) no tiene SSL"
"CURL extension has not been installed or disabled","La extensión CURL no ha sido instalada o está desactivada"
"SSL Certificate is not valid for the API","El certificado SSL no es válido para la API"
"Your API private key is empty or invalid","Su clave privada de la API está vacía o no es válida"
"Your API public key is empty or invalid","Su clave pública de API está vacía o no es válida"
"Your API credential is invalid","Su credencial de API no es válida"
"Your merchant country not been supported","El país de su comercio no es compatible"
"Invalid Charge Cancel","Cancelación de cargos no válida"
"environment:<br>","entorno:<br>"
"environment.","entorno."
"Could not void the payment - ","No se pudo anular el pago - "
"Could not void the payment - Invalid Charge Cancel","No se pudo anular el pago - Cancelación de cargo no válida"
"Could not void the payment - Could not cancel the charge","No se pudo anular el pago - No se pudo cancelar el cargo"
"Failed to process checkout - Unable to initialize the Checkout.","No se ha podido procesar la compra - No se ha podido iniciar el proceso de fin de compra."
"An error occurred while processing payment","Se ha producido un error al procesar el pago"
"An error occurred during redirecting to failure page.","Se ha producido un error durante la redirección a la página de fallos."
"An error occurred during redirecting to referred page.","Se ha producido un error durante la redirección a la página de referencia."
"This could happen if you are disconnected from the network.","Esto puede ocurrir si se desconecta de la red."
"<p>Display Zip Payment marketing banner and popup on home page to give customers more information and increase conversions</p>","<p>Muestra el anuncio de mercadotecnia de Pago por Zip y lo muestra de manera emergente en la página de inicio para ofrecer más información a los clientes y aumentar las conversiones</p>"
"Failed to process checkout - The input of order.currency was not valid", " "Fallo al procesar la compra - La entrada de order.currency no fue válida"
"Zip Payment gives your customers the power to pay later, interest free &nbsp;&nbsp;<a href='https://zip.co/im-a-business' target='_blank'>learn more</a><br/>Don't have an account? Click <a href='https://zippay.com.au/partner-sign-up/' target='_blank'>here</a> to apply for a <strong>Zip Business Account</strong>","Pago por Zip ofrece a sus clientes la posibilidad de pagar más adelante, sin intereses &nbsp;&nbsp;<a href='https://zip.co/im-a-business' target='_blank'>conozca más</a><br/>¿No tiene una cuenta? Haga clic en <a href='https://zippay.com.au/partner-sign-up/' target='_blank'>aquí</a> para solicitar una <strong>Cuenta Zip Business</strong>."
